Question,Category
Hi,basic_greetings
Hi Sophia,basic_greetings
Hiya,basic_greetings
Hello,basic_greetings
Hello Sophia,basic_greetings
Helo,basic_greetings
Hallo,basic_greetings
Halo,basic_greetings
Ello,basic_greetings
Greetings!,basic_greetings
Gretings!,basic_greetings
Greatings!,basic_greetings
Greeting!,basic_greetings
Greet!,basic_greetings
Nice to meet you!,basic_greetings
"Hi, nice to meet you!",basic_greetings
Nice to meet u!,basic_greetings
Nice to met you!,basic_greetings
What's up?,advanced_greetings
What is up?,advanced_greetings
Sup?,advanced_greetings
Wht’s up?,advanced_greetings
How is it going?,advanced_greetings
How’s it going?,advanced_greetings
"Hi, how is it going?",advanced_greetings
How is it gaing?,advanced_greetings
Huw’s it going?,advanced_greetings
Hw’s it going?,advanced_greetings
How are things going?,advanced_greetings
How are you doing?,advanced_greetings
"Hi, how are you doing?",advanced_greetings
Huw are you doing?,advanced_greetings
How are u doing?,advanced_greetings
How are you doin?,advanced_greetings
How do you do?,advanced_greetings
"Hi, how do you do?",advanced_greetings
Hew do you do?,advanced_greetings
How do you du?,advanced_greetings
How do u do?,advanced_greetings
You alright?,advanced_greetings
Are you alright?,advanced_greetings
You aright?,advanced_greetings
U alright?,advanced_greetings
How are you?,advanced_greetings
"Hi, how are you?",advanced_greetings
How are u?,advanced_greetings
How r you?,advanced_greetings
Who am I?,identity_user
Who m I?,identity_user
Whu am I?,identity_user
What is my name?,identity_user
What’s my name?,identity_user
What is me name?,identity_user
What is my nam?,identity_user
What’s me name?,identity_user
What’s my nme?,identity_user
Do you know my name?,identity_user
Do u know my name?,identity_user
Do you knew my name?,identity_user
Do you know my nam?,identity_user
Du you know my name?,identity_user
Do you know me?,identity_user
Du you know me?,identity_user
Do u know me?,identity_user
Do you know m?,identity_user
Who are you?,identity_bot
Who re you?,identity_bot
Who are u?,identity_bot
Who are y?,identity_bot
What is your name?,identity_bot
What is you name?,identity_bot
What is your nume?,identity_bot
What’s your name?,identity_bot
What’s your nam?,identity_bot
What shall I call you?,identity_bot
What shal I call you?,identity_bot
What shall I call u?,identity_bot
What do I call you?,identity_bot
What du I call you?,identity_bot
What do I call u?,identity_bot
Can you tell me your name please?,identity_bot
Can you tell me your name?,identity_bot
Can you tell me you name?,identity_bot
Can u tell me your name?,identity_bot
Can you tell me your nme?,identity_bot
How is the weather?,weather
How’s the weather?,weather
How’s the wether?,weather
How’s th weather?,weather
How’s the weathur?,weather
How is the wether?,weather
How is the weathe?,weather
What is the weather like today?,weather
What is the weather like?,weather
What’s the weather like today?,weather
What’s the weather like?,weather
What is the wether like?,weather
What is the weather lik?,weather
What is the weather like tuday?,weather
What is the weathe like today?,weather
What’s the weathe like?,weather
What’s the wether like?,weather
What’s the weuther like?,weather
What’s th weather like today?,weather
What’s the weathe like today?,weather
What’s the weather like tuday?,weather
