Question,Category
Please make a reservation for me at the Chinese restaurant.,restaurant
Please make a reservation for me at the Thai restaurant.,restaurant
Please help me reserve the Chinese restaurant.,restaurant
Please help me reserve the Thai restaurant.,restaurant
Please book the Chinese restaurant.,restaurant
Please book the Thai restaurant.,restaurant
Please reserve the Chinese restaurant.,restaurant
Please reserve the Thai restaurant.,restaurant
Book the Chinese restaurant.,restaurant
Book the Thai restaurant.,restaurant
Chinese please.,restaurant
Thai please.,restaurant
Chinese,restaurant
Thai,restaurant
I would like to book a place for the 22nd of January.,date
I want to book a place on 23rd November.,date
I would like to book a place for 25th December.,date
I want to book a place for December 22nd.,date
I would like to book a place for February 22nd.,date
I would like to book a place for March 25th.,date
I want to reserve a place for 25th December.,date
I want to reserve a place for April 22nd.,date
I want to make a reservation for lunch on the 22nd of May.,date
I want to make a reservation on 25th June.,date
I would like to make a reservation on 23rd July.,date
I would like to make a reservation on August 22nd.,date
I want to make a reservation on October 23rd.,date
I would like to make a reservation on September 25th.,date
On the 22nd of December.,date
On the 25th of November.,date
On November 22nd.,date
On October 23rd.,date
On September 22nd.,date
On August 24th.,date
On 22th July.,date
On 23rd June.,date
On 25th May.,date
The 25th of April.,date
On 25th March.,date
On February 22nd.,date
On January 22nd.,date
On December 22nd.,date
On December 23rd.,date
On 22nd December.,date
On 24th December.,date
The 25th of November please.,date
December 22nd please.,date
January 23rd please.,date
22nd December please.,date
24th October please.,date
January 1 please.,date
The 22nd of December,date
December 22nd,date
January 23rd,date
22nd December,date
24th October,date
January 1,date
January 13th,date
February 2,date
February 21st,date
March 3,date
March 24th,date
April 4,date
April 21st,date
May 5,date
May 25th,date
June 6,date
June 16th,date
July 7,date
July 28th,date
August 8,date
August 30th,date
September 9,date
September 4th,date
October 10,date
October 15th,date
November 11,date
November 13th,date
December 12,date
December 12th,date
Please book for lunch.,type
Please book for dinner.,type
Please book for supper.,type
Lunch reservations.,type
Dinner reservations.,type
Supper reservations.,type
Book a lunch.,type
Book a dinner.,type
Book a supper.,type
Lunch,type
Dinner,type
Supper,type
It’s dinner.,type
It is dinner.,type
It's supper,type
It is supper,type
It’s lunch.,type
It is lunch.,type
Lunch please.,type
Supper please,type
Dinner please.,type
There are 10 people.,size
There are 7 people.,size
There are 5 people.,size
There are 3 people.,size
There are 2 people.,size
9 people.,size
8 people.,size
6 people.,size
4 people.,size
3 people.,size
1,size
3,size
5,size
7,size
9,size
